Year	Gear	State	Lenbin	Prop.numbers
2005	NON TRAWL	CA	20	0.615937048
2005	NON TRAWL	CA	22	0.758775298
2005	NON TRAWL	CA	24	0.062750695
2005	NON TRAWL	CA	26	0.066440116
2005	NON TRAWL	CA	28	0.92762604
2005	NON TRAWL	CA	30	0.028117563
2005	NON TRAWL	CA	32	0.992846197
2005	NON TRAWL	CA	34	0.026758434
2005	NON TRAWL	CA	36	0.455656287
2005	NON TRAWL	CA	38	0.349751178
2005	NON TRAWL	CA	40	0.444450656
2005	NON TRAWL	CA	42	0.323462975
2005	NON TRAWL	CA	44	0.026126704
2005	NON TRAWL	CA	46	0.124676759
2005	NON TRAWL	CA	48	0.798747734
2005	NON TRAWL	CA	50	0.97825428
2005	NON TRAWL	CA	52	0.574551976
2005	NON TRAWL	CA	54	0.016357601
2005	NON TRAWL	CA	56	0.675711577
2005	NON TRAWL	CA	58	0.907450489
2005	NON TRAWL	CA	60	0.441717612
2005	NON TRAWL	CA	62	0.52451872
2005	NON TRAWL	CA	64	0.936663652
2005	NON TRAWL	CA	66	0.533581948
2006	NON TRAWL	CA	12	0.93307863
2006	NON TRAWL	CA	14	0.169301057
2006	NON TRAWL	CA	16	0.77187469
2006	NON TRAWL	CA	18	0.434397539
2006	NON TRAWL	CA	20	0.536009416
2006	NON TRAWL	CA	22	0.440742731
2006	NON TRAWL	CA	24	0.62918391
2006	NON TRAWL	CA	26	0.736385162
2006	NON TRAWL	CA	28	0.068919314
2006	NON TRAWL	CA	30	0.800223812
2006	NON TRAWL	CA	32	0.87985968
2006	NON TRAWL	CA	34	0.841674157
2006	NON TRAWL	CA	36	0.351202248
2006	NON TRAWL	CA	38	0.177138293
2006	NON TRAWL	CA	40	0.623637096
2006	NON TRAWL	CA	42	0.185228338
2006	NON TRAWL	CA	44	0.760932786
2006	NON TRAWL	CA	46	0.364954577
2006	NON TRAWL	CA	48	0.575102224
2006	NON TRAWL	CA	50	0.108872024
2006	NON TRAWL	CA	52	0.142073532
2006	NON TRAWL	CA	54	0.365580548
2006	NON TRAWL	CA	56	0.795967957
2006	NON TRAWL	CA	58	0.040491282
2006	NON TRAWL	CA	60	0.225363305
2006	NON TRAWL	CA	62	0.713892049
2006	NON TRAWL	CA	64	0.867072145
2006	NON TRAWL	CA	66	0.414379184
2007	NON TRAWL	CA	12	0.956439683
2007	NON TRAWL	CA	14	0.365163956
2007	NON TRAWL	CA	16	0.170287659
2007	NON TRAWL	CA	18	0.120423799
2007	NON TRAWL	CA	20	0.990280879
2007	NON TRAWL	CA	22	0.91612105
2007	NON TRAWL	CA	24	0.517674534
2007	NON TRAWL	CA	26	0.93579861
2007	NON TRAWL	CA	28	0.344569594
2007	NON TRAWL	CA	30	0.440984203
2007	NON TRAWL	CA	32	0.844646538
2007	NON TRAWL	CA	34	0.211000771
2007	NON TRAWL	CA	36	0.15735514
2007	NON TRAWL	CA	38	0.14397041
2007	NON TRAWL	CA	40	0.323218979
2007	NON TRAWL	CA	42	0.936576001
2007	NON TRAWL	CA	44	0.275932396
2007	NON TRAWL	CA	46	0.109303893
2007	NON TRAWL	CA	48	0.745371692
2007	NON TRAWL	CA	50	0.038428851
2007	NON TRAWL	CA	52	0.363441341
2007	NON TRAWL	CA	54	0.046859798
2007	NON TRAWL	CA	56	0.896695738
2007	NON TRAWL	CA	58	0.341849147
2007	NON TRAWL	CA	60	0.758922011
2007	NON TRAWL	CA	62	0.916841585
2007	NON TRAWL	CA	64	0.039202918
2007	NON TRAWL	CA	66	0.557561714
2008	NON TRAWL	CA	12	0.765604056
2008	NON TRAWL	CA	14	0.754826417
2008	NON TRAWL	CA	16	0.642432699
2008	NON TRAWL	CA	18	0.329336592
2008	NON TRAWL	CA	20	0.434497753
2008	NON TRAWL	CA	22	0.900556062
2008	NON TRAWL	CA	24	0.958098689
2008	NON TRAWL	CA	26	0.940857376
2008	NON TRAWL	CA	28	0.860900008
2008	NON TRAWL	CA	30	0.29834972
2008	NON TRAWL	CA	32	0.594590007
2008	NON TRAWL	CA	34	0.519485785
2008	NON TRAWL	CA	36	0.668038895
2008	NON TRAWL	CA	38	0.88555958
2008	NON TRAWL	CA	40	0.740417299
2008	NON TRAWL	CA	42	0.246606053
2008	NON TRAWL	CA	44	0.441742831
2008	NON TRAWL	CA	46	0.221760165
2008	NON TRAWL	CA	48	0.596430154
2008	NON TRAWL	CA	50	0.571528066
2008	NON TRAWL	CA	52	0.989916193
2008	NON TRAWL	CA	54	0.736725307
2008	NON TRAWL	CA	56	0.106644359
2008	NON TRAWL	CA	58	0.919915881
2008	NON TRAWL	CA	60	0.27038191
2008	NON TRAWL	CA	62	0.694945054
2008	NON TRAWL	CA	64	0.237778511
2008	NON TRAWL	CA	66	0.504530169
2009	NON TRAWL	CA	12	0.043804546
2009	NON TRAWL	CA	14	0.41082023
2009	NON TRAWL	CA	16	0.750203139
2009	NON TRAWL	CA	18	0.063437905
2009	NON TRAWL	CA	20	0.043092554
2009	NON TRAWL	CA	22	0.332175274
2009	NON TRAWL	CA	24	0.209618777
2009	NON TRAWL	CA	26	0.769814865
2009	NON TRAWL	CA	28	0.230225078
2009	NON TRAWL	CA	30	0.283265044
2009	NON TRAWL	CA	32	0.936725433
2009	NON TRAWL	CA	34	0.802992536
2009	NON TRAWL	CA	36	0.884636083
2009	NON TRAWL	CA	38	0.406644672
2009	NON TRAWL	CA	40	0.994080845
2009	NON TRAWL	CA	42	0.705039445
2009	NON TRAWL	CA	44	0.348460445
2009	NON TRAWL	CA	46	0.121124642
2009	NON TRAWL	CA	48	0.88692656
2009	NON TRAWL	CA	50	0.74165703
2009	NON TRAWL	CA	52	0.500850472
2009	NON TRAWL	CA	54	0.319541765
2009	NON TRAWL	CA	56	0.773729993
2009	NON TRAWL	CA	58	0.804564693
2009	NON TRAWL	CA	60	0.375251695
2009	NON TRAWL	CA	62	0.883203645
2009	NON TRAWL	CA	64	0.580423707
2009	NON TRAWL	CA	66	0.546678338
2010	NON TRAWL	CA	12	0.260129006
2010	NON TRAWL	CA	14	0.812889413
2010	NON TRAWL	CA	16	0.38661899
2010	NON TRAWL	CA	18	0.698136714
2010	NON TRAWL	CA	20	0.257159741
2010	NON TRAWL	CA	22	0.597132803
2010	NON TRAWL	CA	24	0.205261176
2010	NON TRAWL	CA	26	0.396714141
2010	NON TRAWL	CA	28	0.337907186
2010	NON TRAWL	CA	30	0.728107203
2010	NON TRAWL	CA	32	0.605256748
2010	NON TRAWL	CA	34	0.820127964
2010	NON TRAWL	CA	36	0.634803444
2010	NON TRAWL	CA	38	0.932348685
2010	NON TRAWL	CA	40	0.149709719
2010	NON TRAWL	CA	42	0.625856771
2010	NON TRAWL	CA	44	0.635431743
2010	NON TRAWL	CA	46	0.684588478
2010	NON TRAWL	CA	48	0.303130631
2010	NON TRAWL	CA	50	0.483030365
2010	NON TRAWL	CA	52	0.925731721
2010	NON TRAWL	CA	54	0.174196855
2010	NON TRAWL	CA	56	0.505357885
2010	NON TRAWL	CA	58	0.221245345
2010	NON TRAWL	CA	60	0.951325288
2010	NON TRAWL	CA	62	0.586419309
2010	NON TRAWL	CA	64	0.154953216
2010	NON TRAWL	CA	66	0.940432436
2012	NON TRAWL	CA	12	0.025365493
2012	NON TRAWL	CA	14	0.905702132
2012	NON TRAWL	CA	16	0.523874488
2012	NON TRAWL	CA	18	0.038804204
2012	NON TRAWL	CA	20	0.361371972
2012	NON TRAWL	CA	22	0.80138907
2012	NON TRAWL	CA	24	0.999608758
2012	NON TRAWL	CA	26	0.34307541
2012	NON TRAWL	CA	28	0.683134764
2012	NON TRAWL	CA	30	0.342147728
2012	NON TRAWL	CA	32	0.919961407
2012	NON TRAWL	CA	34	0.43338584
2012	NON TRAWL	CA	36	0.128324902
2012	NON TRAWL	CA	38	0.366059903
2012	NON TRAWL	CA	40	0.065522577
2012	NON TRAWL	CA	42	0.457613997
2012	NON TRAWL	CA	44	0.630679232
2012	NON TRAWL	CA	46	0.797277713
2012	NON TRAWL	CA	48	0.105558932
2012	NON TRAWL	CA	50	0.834261749
2012	NON TRAWL	CA	52	0.626482273
2012	NON TRAWL	CA	54	0.343111295
2012	NON TRAWL	CA	56	0.085984656
2012	NON TRAWL	CA	58	0.162329064
2012	NON TRAWL	CA	60	0.495137395
2012	NON TRAWL	CA	62	0.731939431
2012	NON TRAWL	CA	64	0.013893427
2012	NON TRAWL	CA	66	0.499338553
2013	NON TRAWL	CA	12	0.001361473
2013	NON TRAWL	CA	14	0.355876482
2013	NON TRAWL	CA	16	0.647631661
2013	NON TRAWL	CA	18	0.39088426
2013	NON TRAWL	CA	20	0.931415324
2013	NON TRAWL	CA	22	0.807477821
2013	NON TRAWL	CA	24	0.492837892
2013	NON TRAWL	CA	26	0.895858391
2013	NON TRAWL	CA	28	0.177465234
2013	NON TRAWL	CA	30	0.759140298
2013	NON TRAWL	CA	32	0.113160549
2013	NON TRAWL	CA	34	0.491107129
2013	NON TRAWL	CA	36	0.490309565
2013	NON TRAWL	CA	38	0.006673249
2013	NON TRAWL	CA	40	0.083814915
2013	NON TRAWL	CA	42	0.514458667
2013	NON TRAWL	CA	44	0.001180466
2013	NON TRAWL	CA	46	0.853449925
2013	NON TRAWL	CA	48	0.504206065
2013	NON TRAWL	CA	50	0.513069132
2013	NON TRAWL	CA	52	0.99830622
2013	NON TRAWL	CA	54	0.069312051
2013	NON TRAWL	CA	56	0.484658059
2013	NON TRAWL	CA	58	0.841937999
2013	NON TRAWL	CA	60	0.648123374
2013	NON TRAWL	CA	62	0.163545713
2013	NON TRAWL	CA	64	0.778987213
2013	NON TRAWL	CA	66	0.73148466
2004	TRAWL	CA	12	0.213892922
2004	TRAWL	CA	14	0.70707379
2004	TRAWL	CA	16	0.652911721
2004	TRAWL	CA	18	0.235580136
2004	TRAWL	CA	20	0.723835693
2004	TRAWL	CA	22	0.966916736
2004	TRAWL	CA	24	0.127929264
2004	TRAWL	CA	26	0.985835117
2004	TRAWL	CA	28	0.47214533
2004	TRAWL	CA	30	0.250273164
2004	TRAWL	CA	32	0.885894532
2004	TRAWL	CA	34	0.147588429
2004	TRAWL	CA	36	0.093297027
2004	TRAWL	CA	38	0.793522983
2004	TRAWL	CA	40	0.617564269
2004	TRAWL	CA	42	0.356341235
2004	TRAWL	CA	44	0.172576247
2004	TRAWL	CA	46	0.335438435
2004	TRAWL	CA	48	0.31576786
2004	TRAWL	CA	50	0.092458963
2004	TRAWL	CA	52	0.423716596
2004	TRAWL	CA	54	0.865399386
2004	TRAWL	CA	56	0.85468119
2004	TRAWL	CA	58	0.299837935
2004	TRAWL	CA	60	0.073304301
2004	TRAWL	CA	62	0.396837945
2004	TRAWL	CA	64	0.527143436
2004	TRAWL	CA	66	0.752281564
2005	TRAWL	CA	12	0.718806108
2005	TRAWL	CA	14	0.042672952
2005	TRAWL	CA	16	0.676512032
2005	TRAWL	CA	18	0.955439947
2005	TRAWL	CA	20	0.962511337
2005	TRAWL	CA	22	0.173285266
2005	TRAWL	CA	24	0.265800443
2005	TRAWL	CA	26	0.567753045
2005	TRAWL	CA	28	0.827557933
2005	TRAWL	CA	30	0.908073828
2005	TRAWL	CA	32	0.994525226
2005	TRAWL	CA	34	0.707700832
2005	TRAWL	CA	36	0.450746243
2005	TRAWL	CA	38	0.238987615
2005	TRAWL	CA	40	0.961925719
2005	TRAWL	CA	42	0.272101705
2005	TRAWL	CA	44	0.69280302
2005	TRAWL	CA	46	0.911315586
2005	TRAWL	CA	48	0.29670721
2005	TRAWL	CA	50	0.192930516
2005	TRAWL	CA	52	0.818003191
2005	TRAWL	CA	54	0.863442587
2005	TRAWL	CA	56	0.470367699
2005	TRAWL	CA	58	0.268610559
2005	TRAWL	CA	60	0.878029343
2005	TRAWL	CA	62	0.266724872
2005	TRAWL	CA	64	0.675250651
2005	TRAWL	CA	66	0.942927791
2006	TRAWL	CA	12	0.26864351
2006	TRAWL	CA	14	0.941182035
2006	TRAWL	CA	16	0.759151283
2006	TRAWL	CA	18	0.949776321
2006	TRAWL	CA	20	0.003690116
2006	TRAWL	CA	22	0.612046969
2006	TRAWL	CA	24	0.527377633
2006	TRAWL	CA	26	0.560866271
2006	TRAWL	CA	28	0.365250778
2006	TRAWL	CA	30	0.593385548
2006	TRAWL	CA	32	0.288508828
2006	TRAWL	CA	34	0.803062221
2006	TRAWL	CA	36	0.707794857
2006	TRAWL	CA	38	0.188767914
2006	TRAWL	CA	40	0.250063009
2006	TRAWL	CA	42	0.461739013
2006	TRAWL	CA	44	0.662358985
2006	TRAWL	CA	46	0.618940748
2006	TRAWL	CA	48	0.261979697
2006	TRAWL	CA	50	0.84016449
2006	TRAWL	CA	52	0.034172881
2006	TRAWL	CA	54	0.361947988
2006	TRAWL	CA	56	0.381955565
2006	TRAWL	CA	58	0.326293703
2006	TRAWL	CA	60	0.838770846
2006	TRAWL	CA	62	0.686022873
2006	TRAWL	CA	64	0.481047314
2006	TRAWL	CA	66	0.441117467
2007	TRAWL	CA	12	0.202146001
2007	TRAWL	CA	14	0.750722298
2007	TRAWL	CA	16	0.422172496
2007	TRAWL	CA	18	0.909149695
2007	TRAWL	CA	20	0.488643662
2007	TRAWL	CA	22	0.634132648
2007	TRAWL	CA	24	0.40420986
2007	TRAWL	CA	26	0.559627376
2007	TRAWL	CA	28	0.102646082
2007	TRAWL	CA	30	0.155484862
2007	TRAWL	CA	32	0.537941555
2007	TRAWL	CA	34	0.309410316
2007	TRAWL	CA	36	0.788604477
2007	TRAWL	CA	38	0.693748056
2007	TRAWL	CA	40	0.591197155
2007	TRAWL	CA	42	0.437571927
2007	TRAWL	CA	44	0.484572481
2007	TRAWL	CA	46	0.550594038
2007	TRAWL	CA	48	0.26667882
2007	TRAWL	CA	50	0.717312903
2007	TRAWL	CA	52	0.377432495
2007	TRAWL	CA	54	0.978384344
2007	TRAWL	CA	56	0.454978526
2007	TRAWL	CA	58	0.856195319
2007	TRAWL	CA	60	0.993268114
2007	TRAWL	CA	62	0.917218225
2007	TRAWL	CA	64	0.989412958
2007	TRAWL	CA	66	0.801353835
2008	TRAWL	CA	12	0.952573597
2008	TRAWL	CA	14	0.230322356
2008	TRAWL	CA	16	0.922404558
2008	TRAWL	CA	18	0.030690915
2008	TRAWL	CA	20	0.333077282
2008	TRAWL	CA	22	0.166306215
2008	TRAWL	CA	24	0.535771567
2008	TRAWL	CA	26	0.960352424
2008	TRAWL	CA	28	0.91622911
2008	TRAWL	CA	30	0.142793703
2008	TRAWL	CA	32	0.663028353
2008	TRAWL	CA	34	0.699002107
2008	TRAWL	CA	36	0.547532515
2008	TRAWL	CA	38	0.358312722
2008	TRAWL	CA	40	0.46277434
2008	TRAWL	CA	42	0.906017342
2008	TRAWL	CA	44	0.768102445
2008	TRAWL	CA	46	0.038084192
2008	TRAWL	CA	48	0.168356207
2008	TRAWL	CA	50	0.055794412
2008	TRAWL	CA	52	0.827386704
2008	TRAWL	CA	54	0.5634641
2008	TRAWL	CA	56	0.832942751
2008	TRAWL	CA	58	0.334180488
2008	TRAWL	CA	60	0.082927779
2008	TRAWL	CA	62	0.269461642
2008	TRAWL	CA	64	0.244936233
2008	TRAWL	CA	66	0.052728443
2009	TRAWL	CA	12	0.554151051
2009	TRAWL	CA	14	0.681919876
2009	TRAWL	CA	16	0.468130248
2009	TRAWL	CA	18	0.42521093
2009	TRAWL	CA	20	0.46579014
2009	TRAWL	CA	22	0.193140962
2009	TRAWL	CA	24	0.79213731
2009	TRAWL	CA	26	0.628373058
2009	TRAWL	CA	28	0.484077399
2009	TRAWL	CA	30	0.789759142
2009	TRAWL	CA	32	0.839254698
2009	TRAWL	CA	34	0.613440638
2009	TRAWL	CA	36	0.649778112
2009	TRAWL	CA	38	0.479934879
2009	TRAWL	CA	40	0.577124821
2009	TRAWL	CA	42	0.71728767
2009	TRAWL	CA	44	0.968634083
2009	TRAWL	CA	46	0.876360869
2009	TRAWL	CA	48	0.30097232
2009	TRAWL	CA	50	0.812822806
2009	TRAWL	CA	52	0.182988719
2009	TRAWL	CA	54	0.415143035
2009	TRAWL	CA	56	0.130442021
2009	TRAWL	CA	58	0.727724435
2009	TRAWL	CA	60	0.180461096
2009	TRAWL	CA	62	0.811905485
2009	TRAWL	CA	64	0.416782858
2009	TRAWL	CA	66	0.207698674
2010	TRAWL	CA	12	0.970948586
2010	TRAWL	CA	14	0.20416698
2010	TRAWL	CA	16	0.971959723
2010	TRAWL	CA	18	0.967906354
2010	TRAWL	CA	20	0.673254033
2010	TRAWL	CA	22	0.918416724
2010	TRAWL	CA	24	0.012374111
2010	TRAWL	CA	26	0.872831399
2010	TRAWL	CA	28	0.737538911
2010	TRAWL	CA	30	0.724350238
2010	TRAWL	CA	32	0.078889478
2010	TRAWL	CA	34	0.142708682
2010	TRAWL	CA	36	0.40069743
2010	TRAWL	CA	38	0.708832431
2010	TRAWL	CA	40	0.891438746
2010	TRAWL	CA	42	0.983567055
2010	TRAWL	CA	44	0.583054001
2010	TRAWL	CA	46	0.65402486
2010	TRAWL	CA	48	0.293569942
2010	TRAWL	CA	50	0.341619874
2010	TRAWL	CA	52	0.044086058
2010	TRAWL	CA	54	0.418720186
2010	TRAWL	CA	56	0.045888129
2010	TRAWL	CA	58	0.414629693
2010	TRAWL	CA	60	0.762551922
2010	TRAWL	CA	62	0.714303189
2010	TRAWL	CA	64	0.80779934
2010	TRAWL	CA	66	0.848747011
2013	TRAWL	CA	12	0.868135925
2013	TRAWL	CA	14	0.700788301
2013	TRAWL	CA	16	0.437631895
2013	TRAWL	CA	18	0.400935617
2013	TRAWL	CA	20	0.476246317
2013	TRAWL	CA	22	0.553988425
2013	TRAWL	CA	24	0.673480783
2013	TRAWL	CA	26	0.059624315
2013	TRAWL	CA	28	0.877964789
2013	TRAWL	CA	30	0.091822727
2013	TRAWL	CA	32	0.301039604
2013	TRAWL	CA	34	0.822409116
2013	TRAWL	CA	36	0.264371812
2013	TRAWL	CA	38	0.908379695
2013	TRAWL	CA	40	0.297970588
2013	TRAWL	CA	42	0.251721338
2013	TRAWL	CA	44	0.694709392
2013	TRAWL	CA	46	0.295385359
2013	TRAWL	CA	48	0.914112823
2013	TRAWL	CA	50	0.814200571
2013	TRAWL	CA	52	0.564086351
2013	TRAWL	CA	54	0.371852568
2013	TRAWL	CA	56	0.15628454
2013	TRAWL	CA	58	0.515100699
2013	TRAWL	CA	60	0.227270244
2013	TRAWL	CA	62	0.986696086
2013	TRAWL	CA	64	0.863133482
2013	TRAWL	CA	66	0.742055601
2011	NON TRAWL	OR	12	0.950381736
2011	NON TRAWL	OR	14	0.49926644
2011	NON TRAWL	OR	16	0.45730286
2011	NON TRAWL	OR	18	0.873492761
2011	NON TRAWL	OR	20	0.145271186
2011	NON TRAWL	OR	22	0.6511291
2011	NON TRAWL	OR	24	0.742524305
2011	NON TRAWL	OR	26	0.578337981
2011	NON TRAWL	OR	28	0.518293889
2011	NON TRAWL	OR	30	0.488140907
2011	NON TRAWL	OR	32	0.408370659
2011	NON TRAWL	OR	34	0.033687863
2011	NON TRAWL	OR	36	0.596823746
2011	NON TRAWL	OR	38	0.669552276
2011	NON TRAWL	OR	40	0.726513279
2011	NON TRAWL	OR	42	0.686377179
2011	NON TRAWL	OR	44	0.524886603
2011	NON TRAWL	OR	46	0.426570233
2011	NON TRAWL	OR	48	0.789755201
2011	NON TRAWL	OR	50	0.54575018
2011	NON TRAWL	OR	52	0.641454348
2011	NON TRAWL	OR	54	0.639616514
2011	NON TRAWL	OR	56	0.342834939
2011	NON TRAWL	OR	58	0.76173745
2011	NON TRAWL	OR	60	0.426593878
2011	NON TRAWL	OR	62	0.315206197
2011	NON TRAWL	OR	64	0.35199128
2011	NON TRAWL	OR	66	0.097206051
2004	NON TRAWL	OR	12	0.099041944
2004	NON TRAWL	OR	14	0.209969816
2004	NON TRAWL	OR	16	0.218043419
2004	NON TRAWL	OR	18	0.819940322
2004	NON TRAWL	OR	20	0.502929079
2004	NON TRAWL	OR	22	0.527846978
2004	NON TRAWL	OR	24	0.637643439
2004	NON TRAWL	OR	26	0.857418582
2004	NON TRAWL	OR	28	0.928863295
2004	NON TRAWL	OR	30	0.687976131
2004	NON TRAWL	OR	32	0.598902371
2004	NON TRAWL	OR	34	0.080410927
2004	NON TRAWL	OR	36	0.882274884
2004	NON TRAWL	OR	38	0.909843794
2004	NON TRAWL	OR	40	0.199057269
2004	NON TRAWL	OR	42	0.260113709
2004	NON TRAWL	OR	44	0.519939786
2004	NON TRAWL	OR	46	0.377889855
2004	NON TRAWL	OR	48	0.154431908
2004	NON TRAWL	OR	50	0.737564217
2004	NON TRAWL	OR	52	0.501086271
2004	NON TRAWL	OR	54	0.487454158
2004	NON TRAWL	OR	56	0.723007126
2004	NON TRAWL	OR	58	0.915194101
2004	NON TRAWL	OR	60	0.677839065
2004	NON TRAWL	OR	62	0.623417439
2004	NON TRAWL	OR	64	0.21194288
2004	NON TRAWL	OR	66	0.380215376
2005	NON TRAWL	OR	12	0.655534067
2005	NON TRAWL	OR	14	0.879181454
2005	NON TRAWL	OR	16	0.805124787
2005	NON TRAWL	OR	18	0.790690153
2005	NON TRAWL	OR	20	0.573523822
2005	NON TRAWL	OR	22	0.419252531
2005	NON TRAWL	OR	24	0.730928118
2005	NON TRAWL	OR	26	0.323419492
2005	NON TRAWL	OR	28	0.234491182
2005	NON TRAWL	OR	30	0.272095162
2005	NON TRAWL	OR	32	0.155060208
2005	NON TRAWL	OR	34	0.257596226
2005	NON TRAWL	OR	36	0.288256031
2005	NON TRAWL	OR	38	0.564977945
2005	NON TRAWL	OR	40	0.477627833
2005	NON TRAWL	OR	42	0.976208911
2005	NON TRAWL	OR	44	0.238965816
2005	NON TRAWL	OR	46	0.675872179
2005	NON TRAWL	OR	48	0.793609454
2005	NON TRAWL	OR	50	0.563923467
2005	NON TRAWL	OR	52	0.563397579
2005	NON TRAWL	OR	54	0.704614541
2005	NON TRAWL	OR	56	0.461058883
2005	NON TRAWL	OR	58	0.122245371
2005	NON TRAWL	OR	60	0.712731391
2005	NON TRAWL	OR	62	0.964466991
2005	NON TRAWL	OR	64	0.514414607
2005	NON TRAWL	OR	66	0.383819341
2006	NON TRAWL	OR	12	0.043631372
2006	NON TRAWL	OR	14	0.347391108
2006	NON TRAWL	OR	16	0.398457513
2006	NON TRAWL	OR	18	0.251420384
2006	NON TRAWL	OR	20	0.365322893
2006	NON TRAWL	OR	22	0.797571087
2006	NON TRAWL	OR	24	0.545257924
2006	NON TRAWL	OR	26	0.151598772
2006	NON TRAWL	OR	28	0.596985701
2006	NON TRAWL	OR	30	0.636631547
2006	NON TRAWL	OR	32	0.923538486
2006	NON TRAWL	OR	34	0.549088896
2006	NON TRAWL	OR	36	0.790525549
2006	NON TRAWL	OR	38	0.87313911
2006	NON TRAWL	OR	40	0.472067055
2006	NON TRAWL	OR	42	0.344930291
2006	NON TRAWL	OR	44	0.501190698
2006	NON TRAWL	OR	46	0.77442217
2006	NON TRAWL	OR	48	0.90324511
2006	NON TRAWL	OR	50	0.86840565
2006	NON TRAWL	OR	52	0.062504435
2006	NON TRAWL	OR	54	0.279290593
2006	NON TRAWL	OR	56	0.635205067
2006	NON TRAWL	OR	58	0.864803267
2006	NON TRAWL	OR	60	0.229640852
2006	NON TRAWL	OR	62	0.299769451
2006	NON TRAWL	OR	64	0.704130936
2006	NON TRAWL	OR	66	0.138408148
2007	NON TRAWL	OR	12	0.154194645
2007	NON TRAWL	OR	14	0.616468325
2007	NON TRAWL	OR	16	0.126942967
2007	NON TRAWL	OR	18	0.630894606
2007	NON TRAWL	OR	20	0.870197525
2007	NON TRAWL	OR	22	0.237175729
2007	NON TRAWL	OR	24	0.562845825
2007	NON TRAWL	OR	26	0.477758791
2007	NON TRAWL	OR	28	0.659331916
2007	NON TRAWL	OR	30	0.99256574
2007	NON TRAWL	OR	32	0.288791575
2007	NON TRAWL	OR	34	0.191641234
2007	NON TRAWL	OR	36	0.027107508
2007	NON TRAWL	OR	38	0.641829686
2007	NON TRAWL	OR	40	0.266795909
2007	NON TRAWL	OR	42	0.570153356
2007	NON TRAWL	OR	44	0.471648846
2007	NON TRAWL	OR	46	0.297332809
2007	NON TRAWL	OR	48	0.710568934
2007	NON TRAWL	OR	50	0.876584301
2007	NON TRAWL	OR	52	0.939467027
2007	NON TRAWL	OR	54	0.665490343
2007	NON TRAWL	OR	56	0.661740207
2007	NON TRAWL	OR	58	0.964359628
2007	NON TRAWL	OR	60	0.916363121
2007	NON TRAWL	OR	62	0.791679198
2007	NON TRAWL	OR	64	0.136916375
2007	NON TRAWL	OR	66	0.378728913
2008	NON TRAWL	OR	12	0.079518471
2008	NON TRAWL	OR	14	0.948799115
2008	NON TRAWL	OR	16	0.887535792
2008	NON TRAWL	OR	18	0.746982576
2008	NON TRAWL	OR	20	0.682680321
2008	NON TRAWL	OR	22	0.902123846
2008	NON TRAWL	OR	24	0.081849084
2008	NON TRAWL	OR	26	0.930446435
2008	NON TRAWL	OR	28	0.89117026
2008	NON TRAWL	OR	30	0.79298831
